"WinLoss","TeamID","TeamName","Description","PowerFive","GP","PF","PA","FGPct","FGM","FGA","FG3Pct","FGM3","FGA3","FTPct","FTM","FTA","Reb","OReb","DReb","Ast","TO","Stl","Blk","DII","HAS","LEF","MAS","MOR","POM","SAG","WIL","OppTeamID","OppTeamName","OppDescription","OppPowerFive","OppGP","OppPF","OppPA","OppFGPct","OppFGM","OppFGA","OppFG3Pct","OppFGM3","OppFGA3","OppFTPct","OppFTM","OppFTA","OppReb","OppOReb","OppDReb","OppAst","OppTO","OppStl","OppBlk","OppDII","OppHAS","OppLEF","OppMAS","OppMOR","OppPOM","OppSAG","OppWIL"
1,1101,"Abilene Chr","Southland Conference",0,6,67.5,60.1666666666667,44.4099378881988,23.8333333333333,53.6666666666667,39.6396396396396,7.33333333333333,18.5,61.4754098360656,12.5,20.3333333333333,27.3333333333333,7,20.3333333333333,12.5,15,8.33333333333333,2.16666666666667,137,140,152,172,48,125,123,153,1249,"Lamar","Southland Conference",0,9,60.2222222222222,72.6666666666667,37.6237623762376,21.1111111111111,56.1111111111111,25.5172413793103,4.11111111111111,16.1111111111111,72.2543352601156,13.8888888888889,19.2222222222222,32.3333333333333,7.22222222222222,25.1111111111111,10.4444444444444,14,6.22222222222222,3.44444444444444,308,338,298,322,246,301,310,304
1,1101,"Abilene Chr","Southland Conference",0,7,69.7142857142857,60.8571428571429,44.2455242966752,24.7142857142857,55.8571428571429,40.4580152671756,7.57142857142857,18.7142857142857,62.2377622377622,12.7142857142857,20.4285714285714,28.8571428571429,8.14285714285714,20.7142857142857,13.7142857142857,14.7142857142857,8.71428571428571,2.28571428571429,135,120,151,178,70,121,128,152,1223,"Houston Bap","Southland Conference",0,8,69.875,88.625,40.956340956341,24.625,60.125,37.5634517766497,9.25,24.625,74.5901639344262,11.375,15.25,31.5,7.625,23.875,14,17.125,5.375,3.625,352,352,348,343,321,350,343,351
1,1101,"Abilene Chr","Southland Conference",0,8,69.25,61.125,43.859649122807,25,57,36.6013071895425,7,19.125,63.6363636363636,12.25,19.25,30.25,8.75,21.5,14.125,14.5,8.375,2.375,108,113,159,189,68,113,138,149,1368,"SE Louisiana","Southland Conference",0,11,63,78,36.7088607594937,21.0909090909091,57.4545454545455,25.9842519685039,6,23.0909090909091,60.5947955390335,14.8181818181818,24.4545454545455,31.4545454545455,11.3636363636364,20.0909090909091,9.90909090909091,15.7272727272727,5.63636363636364,2.90909090909091,335,324,336,310,248,328,324,339
1,1101,"Abilene Chr","Southland Conference",0,9,70,59,43.921568627451,24.8888888888889,56.6666666666667,36.7231638418079,7.22222222222222,19.6666666666667,64.6408839779006,13,20.1111111111111,30.3333333333333,8.77777777777778,21.5555555555556,14.8888888888889,14.4444444444444,9.22222222222222,2.66666666666667,98,121,156,184,84,124,136,151,1146,"Cent Arkansas","Southland Conference",0,12,70.9166666666667,83.9166666666667,43.5483870967742,24.75,56.8333333333333,35.6481481481481,6.41666666666667,18,74.3801652892562,15,20.1666666666667,33.3333333333333,7.83333333333333,25.5,12.75,18.4166666666667,4.58333333333333,2.16666666666667,295,230,277,246,234,247,273,299
1,1101,"Abilene Chr","Southland Conference",0,11,70.9090909090909,59.3636363636364,44.251968503937,25.5454545454545,57.7272727272727,35.2422907488987,7.27272727272727,20.6363636363636,64.4859813084112,12.5454545454545,19.4545454545455,30.2727272727273,8.90909090909091,21.3636363636364,16.7272727272727,13.9090909090909,9.09090909090909,3,105,87,151,164,80,120,132,167,1372,"SF Austin","Southland Conference",0,8,79.625,71.5,53.7558685446009,28.625,53.25,33.6283185840708,4.75,14.125,67.4641148325359,17.625,26.125,29.25,8.875,20.375,14.875,17.875,9,3.125,267,174,142,173,224,158,162,114
1,1101,"Abilene Chr","Southland Conference",0,11,70.9090909090909,59.3636363636364,44.251968503937,25.5454545454545,57.7272727272727,35.2422907488987,7.27272727272727,20.6363636363636,64.4859813084112,12.5454545454545,19.4545454545455,30.2727272727273,8.90909090909091,21.3636363636364,16.7272727272727,13.9090909090909,9.09090909090909,3,105,87,151,164,80,120,132,167,1230,"Incarnate Word","Southland Conference",0,9,67.7777777777778,73.6666666666667,45.0317124735729,23.6666666666667,52.5555555555556,40.6417112299465,8.44444444444444,20.7777777777778,65.0602409638554,12,18.4444444444444,26.8888888888889,5.77777777777778,21.1111111111111,12.2222222222222,14.5555555555556,5.11111111111111,1.88888888888889,346,322,339,333,332,338,335,338
1,1101,"Abilene Chr","Southland Conference",0,13,72.0769230769231,60.1538461538462,44.2666666666667,25.5384615384615,57.6923076923077,33.5766423357664,7.07692307692308,21.0769230769231,67.5373134328358,13.9230769230769,20.6153846153846,31.3076923076923,9.38461538461539,21.9230769230769,16.3846153846154,13.5384615384615,8.38461538461539,3,112,69,156,162,80,113,128,175,1249,"Lamar","Southland Conference",0,15,63.6,75.4666666666667,39.6531791907514,22.8666666666667,57.6666666666667,24.3697478991597,3.86666666666667,15.8666666666667,72.4137931034483,14,19.3333333333333,31.5333333333333,8,23.5333333333333,11.5333333333333,13.6666666666667,6.66666666666667,3.2,324,345,315,328,334,327,315,304
1,1101,"Abilene Chr","Southland Conference",0,13,72.0769230769231,60.1538461538462,44.2666666666667,25.5384615384615,57.6923076923077,33.5766423357664,7.07692307692308,21.0769230769231,67.5373134328358,13.9230769230769,20.6153846153846,31.3076923076923,9.38461538461539,21.9230769230769,16.3846153846154,13.5384615384615,8.38461538461539,3,112,69,156,162,80,113,128,175,1394,"TAM C. Christi","Southland Conference",0,10,59.7,73.4,39.3410852713178,20.3,51.6,31.7948717948718,6.2,19.5,65.8163265306122,12.9,19.6,30.3,7.4,22.9,12.4,16.9,5.6,2.8,354,329,341,344,298,334,335,325
1,1101,"Abilene Chr","Southland Conference",0,15,73.0666666666667,60.8666666666667,45.1205510907003,26.2,58.0666666666667,35.048231511254,7.26666666666667,20.7333333333333,66.7774086378738,13.4,20.0666666666667,31.1333333333333,9.4,21.7333333333333,16.8666666666667,12.7333333333333,8.53333333333333,2.93333333333333,109,65,145,146,109,105,114,163,1223,"Houston Bap","Southland Conference",0,14,71,82.5714285714286,43.1707317073171,25.2857142857143,58.5714285714286,35.632183908046,8.85714285714286,24.8571428571429,75,11.5714285714286,15.4285714285714,30.2142857142857,7.21428571428571,23,15.0714285714286,17.4285714285714,6.64285714285714,4.21428571428571,345,329,343,338,308,334,339,349
1,1101,"Abilene Chr","Southland Conference",0,15,73.0666666666667,60.8666666666667,45.1205510907003,26.2,58.0666666666667,35.048231511254,7.26666666666667,20.7333333333333,66.7774086378738,13.4,20.0666666666667,31.1333333333333,9.4,21.7333333333333,16.8666666666667,12.7333333333333,8.53333333333333,2.93333333333333,109,65,145,146,109,105,114,163,1394,"TAM C. Christi","Southland Conference",0,13,61.0769230769231,73.6923076923077,40.4411764705882,21.1538461538462,52.3076923076923,33.2,6.38461538461539,19.2307692307692,67.3640167364017,12.3846153846154,18.3846153846154,29.8461538461538,7,22.8461538461538,12.5384615384615,15.9230769230769,5.30769230769231,2.69230769230769,355,335,339,344,301,336,340,335
